sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,ma_ngoai_ngu
1001967,8.6,8.75,8.6,8.25,6.0,6.75,N1
1001975,8.4,7.75,8.4,6.0,5.75,5.5,N1
1001979,8.0,8.0,8.2,6.25,7.5,5.25,N1
1001985,7.2,8.5,8.6,3.5,6.75,6.0,N1
1001987,7.6,7.0,4.8,5.0,8.25,8.0,N1
1001990,7.8,8.75,7.0,6.5,6.25,7.25,N1
1001994,8.6,6.25,8.6,8.5,4.75,5.0,N1
1001997,8.6,9.0,6.8,7.75,4.0,6.75,N1
1002003,7.0,4.75,8.0,6.75,4.0,5.75,N1
1002012,7.2,7.0,6.2,6.5,6.0,6.5,N1
1002014,7.6,8.5,8.6,6.0,3.75,7.75,N1
1002015,7.0,8.5,9.2,5.0,9.25,6.0,N1
1002020,8.4,7.5,8.4,7.75,5.75,7.0,N1
1002021,6.4,8.75,7.0,4.5,5.0,4.75,N1
1002022,8.8,8.25,8.2,8.25,8.0,7.25,N1
1002023,8.2,7.5,6.4,7.25,7.0,5.5,N1
1002024,8.6,8.25,8.8,5.75,7.5,5.0,N1
1002029,8.2,7.75,9.8,6.25,7.5,8.75,N1
1002032,9.2,6.75,8.0,8.75,4.25,6.5,N1
1002046,7.6,8.0,9.4,7.75,6.75,6.5,N1
1002048,8.2,7.25,5.0,8.25,8.0,6.0,N1
1002049,7.6,7.0,6.6,3.0,6.25,5.75,N1
1002052,8.4,7.75,7.4,4.5,8.75,6.5,N1
1002053,7.6,7.0,8.6,7.25,7.25,7.25,N1
1002060,8.4,8.5,8.6,6.75,8.5,8.25,N1
1002062,7.6,7.75,7.2,7.75,5.25,6.5,N1
1002063,8.0,8.75,6.4,6.5,7.25,6.25,N1
1002071,8.4,7.0,9.0,5.25,8.0,4.5,N1
1002073,9.4,7.5,9.2,8.5,5.25,4.5,N1
1002074,8.8,7.75,7.6,7.75,8.25,6.75,N1
1002075,9.0,8.0,9.4,8.75,9.25,8.5,N1
1002077,8.2,5.75,9.6,4.75,7.5,5.75,N1
1002078,8.6,6.5,9.0,7.0,7.5,7.25,N1
1002080,8.4,6.25,9.0,8.75,5.0,4.5,N1
1002081,7.6,6.0,7.4,7.75,5.0,5.5,N1
1002084,7.4,8.25,8.4,5.75,7.5,6.25,N1
1002085,8.2,7.75,7.2,3.0,8.75,6.75,N1
1002086,8.6,7.25,8.8,8.25,5.0,4.5,N1
1002087,6.6,7.5,7.8,7.25,7.5,6.25,N1
1002088,8.0,7.5,8.4,7.25,5.75,5.75,N1
1002089,7.2,6.0,8.8,5.5,7.5,6.0,N1
1002091,8.2,7.0,6.8,7.5,5.25,6.0,N1
1002093,8.6,8.75,9.0,8.75,6.0,7.0,N1
1002096,7.6,7.25,5.2,7.25,8.25,5.5,N1
1002106,8.4,7.5,9.2,8.25,3.0,6.0,N1
1002174,8.4,8.75,8.4,8.5,7.25,6.5,N1
1002175,7.4,8.25,8.6,5.5,7.75,7.5,N1
1002176,8.2,7.75,7.4,6.25,8.0,6.25,N1
1002177,8.6,8.25,8.6,5.75,8.5,6.5,N1
1002178,8.4,7.5,8.6,7.75,7.75,6.5,N1
1002179,8.2,7.75,9.4,7.5,5.25,4.5,N1
1002180,9.2,7.75,9.8,7.75,8.25,6.5,N1
1002309,6.4,7.25,6.2,5.0,6.25,6.0,N7
1002313,8.0,6.0,9.2,5.0,8.75,7.0,N1
